 pmccullo / Coursera-Capstone-ShinyApp
Code  Issues 0  Pull requests 0  Projects 0  Wiki  Pulse  Community
full_twitter_lookup.csv
￼
"","ngram","freq","length","less1gram","less1gram_freq","hit_rate","suggest"
"179","hope you",77,"2","hope",376,0.204787234042553,"you"
"3154","son of",9,"2","son",44,0.204545454545455,"of"
"1203","havent been",19,"2","havent",93,0.204301075268817,"been"
"350","into the",48,"2","into",235,0.204255319148936,"the"
"3828","go to the",29,"3","go to",142,0.204225352112676,"the"
"4307","would have been",10,"3","would have",49,0.204081632653061,"been"
"3825","had a great",31,"3","had a",152,0.203947368421053,"great"
"12","have a",363,"2","have",1780,0.203932584269663,"a"
"2452","living in",11,"2","living",54,0.203703703703704,"in"
"11","at the",372,"2","at",1835,0.202724795640327,"the"
"625","lets go",31,"2","lets",153,0.202614379084967,"go"
"3906","check out the",18,"3","check out",89,0.202247191011236,"the"
"1123","needs a",20,"2","needs",99,0.202020202020202,"a"
"642","away from",30,"2","away",150,0.2,"from"
"4220","you will be",11,"3","you will",55,0.2,"be"
"4231","dont think i",10,"3","dont think",50,0.2,"i"
"2953","easy to",9,"2","easy",45,0.2,"to"
"4401","went to the",9,"3","went to",45,0.2,"the"
"5221","i feel like i",9,"4","i feel like",45,0.2,"i"
"3387","followed me",8,"2","followed",40,0.2,"me"
"3720","wearing a",8,"2","wearing",40,0.2,"a"
"4510","out for the",8,"3","out for",40,0.2,"the"
"4824","and now i",6,"3","and now",30,0.2,"i"
"4863","down to the",6,"3","down to",30,0.2,"the"
"4874","for us to",6,"3","for us",30,0.2,"to"
"5080","to check it",6,"3","to check",30,0.2,"it"
"5136","where you are",6,"3","where you",30,0.2,"are"
"5137","where you at",6,"3","where you",30,0.2,"at"
"58","one of",166,"2","one",838,0.198090692124105,"of"
"3904","all of the",18,"3","all of",91,0.197802197802198,"the"
"1465","youll be",17,"2","youll",86,0.197674418604651,"be"
"1910","against the",13,"2","against",66,0.196969696969697,"the"
"76","back to",132,"2","back",671,0.19672131147541,"to"
"4128","it in the",12,"3","it in",61,0.19672131147541,"the"
"4203","to find out",11,"3","to find",56,0.196428571428571,"out"
"2595","appreciate it",10,"2","appreciate",51,0.196078431372549,"it"
"2749","order to",10,"2","order",51,0.196078431372549,"to"
"280","wait for",58,"2","wait",296,0.195945945945946,"for"
"3156","starts at",9,"2","starts",46,0.195652173913043,"at"
"806","through the",26,"2","through",133,0.195488721804511,"the"
"864","following me",24,"2","following",123,0.195121951219512,"me"
"3296","act like",8,"2","act",41,0.195121951219512,"like"
"4504","not to be",8,"3","not to",41,0.195121951219512,"be"
"4622","hard to find",7,"3","hard to",36,0.194444444444444,"find"
"1932","deal with",13,"2","deal",67,0.194029850746269,"with"
"3914","we have a",18,"3","we have",93,0.193548387096774,"a"
"4817","all you do",6,"3","all you",31,0.193548387096774,"do"
"5012","my best friends",6,"3","my best",31,0.193548387096774,"friends"
"5107","tonight at pm",6,"3","tonight at",31,0.193548387096774,"pm"
"3929","there is a",17,"3","there is",88,0.193181818181818,"a"
"2458","matter what",11,"2","matter",57,0.192982456140351,"what"
"1022","believe in",21,"2","believe",109,0.192660550458716,"in"
"434","whats up",41,"2","whats",213,0.192488262910798,"up"
"463","watching the",39,"2","watching",203,0.192118226600985,"the"
"4002","i didnt know",14,"3","i didnt",73,0.191780821917808,"know"
"4022","ready for the",14,"3","ready for",73,0.191780821917808,"the"
"219","ill be",68,"2","ill",355,0.191549295774648,"be"
"3811","to go to",36,"3","to go",188,0.191489361702128,"to"
"4358","it on the",9,"3","it on",47,0.191489361702128,"the"
"3919","check out our",17,"3","check out",89,0.191011235955056,"our"
"3875","i get to",21,"3","i get",110,0.190909090909091,"to"
"1556","sometimes i",16,"2","sometimes",84,0.19047619047619,"i"
"4484","is like the",8,"3","is like",42,0.19047619047619,"the"
"4565","a bit of",7,"3","a bit",37,0.189189189189189,"of"
"4587","but it was",7,"3","but it",37,0.189189189189189,"was"
"4769","was in the",7,"3","was in",37,0.189189189189189,"the"
"762","saw a",27,"2","saw",143,0.188811188811189,"a"
"4362","look at the",9,"3","look at",48,0.1875,"the"
"4859","dont like the",6,"3","dont like",32,0.1875,"the"
"5273","do you think of",6,"4","do you think",32,0.1875,"of"
"38","do you",216,"2","do",1155,0.187012987012987,"you"
"3","for the",766,"2","for",4096,0.18701171875,"the"
"353","look at",48,"2","look",257,0.186770428015564,"at"
"3352","btw i",8,"2","btw",43,0.186046511627907,"i"
"4550","what the fuck",8,"3","what the",43,0.186046511627907,"fuck"
"5241","would love to see",8,"4","would love to",43,0.186046511627907,"see"
"2062","using the",13,"2","using",70,0.185714285714286,"the"
"1623","happen to",15,"2","happen",81,0.185185185185185,"to"
"4276","talk to you",10,"3","talk to",54,0.185185185185185,"you"
"5321","do you have any",5,"4","do you have",27,0.185185185185185,"any"
"5383","thanks for following us",5,"4","thanks for following",27,0.185185185185185,"us"
"2272","tickets for",12,"2","tickets",65,0.184615384615385,"for"
"3992","are the best",14,"3","are the",76,0.184210526315789,"best"
"4592","day in the",7,"3","day in",38,0.184210526315789,"the"
"4687","its all good",7,"3","its all",38,0.184210526315789,"good"
"5247","i dont think i",7,"4","i dont think",38,0.184210526315789,"i"
"3954","the only one",16,"3","the only",87,0.183908045977011,"one"
"1329","told you",18,"2","told",98,0.183673469387755,"you"
"72","go to",142,"2","go",774,0.183462532299742,"to"
"2027","success is",13,"2","success",71,0.183098591549296,"is"
"1357","care of",17,"2","care",93,0.182795698924731,"of"
"81","see you",127,"2","see",698,0.181948424068768,"you"
"2286","took a",12,"2","took",66,0.181818181818182,"a"
"4423","all i want",8,"3","all i",44,0.181818181818182,"want"
"2028","super bowl",13,"2","super",72,0.180555555555556,"bowl"
"4047","dont know if",13,"3","dont know",72,0.180555555555556,"if"
"4615","glad you enjoyed",7,"3","glad you",39,0.179487179487179,"enjoyed"
"4698","life is a",7,"3","life is",39,0.179487179487179,"a"
"4703","makes me feel",7,"3","makes me",39,0.179487179487179,"feel"
"2195","learn to",12,"2","learn",67,0.17910447761194,"to"
"2197","list of",12,"2","list",67,0.17910447761194,"of"
"1672","state of",15,"2","state",84,0.178571428571429,"of"
"2607","bit of",10,"2","bit",56,0.178571428571429,"of"
"2711","loves you",10,"2","loves",56,0.178571428571429,"you"
"5333","have a good weekend",5,"4","have a good",28,0.178571428571429,"weekend"
"5370","let us know what",5,"4","let us know",28,0.178571428571429,"what"
"1031","gotta get",21,"2","gotta",118,0.177966101694915,"get"
"3382","exactly what",8,"2","exactly",45,0.177777777777778,"what"
"3436","hoping for",8,"2","hoping",45,0.177777777777778,"for"
"3496","lucky to",8,"2","lucky",45,0.177777777777778,"to"
"65","when i",156,"2","when",884,0.176470588235294,"i"
"268","better than",60,"2","better",340,0.176470588235294,"than"
"5039","so excited for",6,"3","so excited",34,0.176470588235294,"for"
"5143","yeah i know",6,"3","yeah i",34,0.176470588235294,"know"
"4052","good luck to",13,"3","good luck",74,0.175675675675676,"to"
"2771","side of",10,"2","side",57,0.175438596491228,"of"
"540","live in",35,"2","live",200,0.175,"in"
"4693","just saw the",7,"3","just saw",40,0.175,"the"
"4785","will have a",7,"3","will have",40,0.175,"a"
"1596","agree with",15,"2","agree",86,0.174418604651163,"with"
"6","on the",497,"2","on",2857,0.173958697934897,"the"
"1553","send you",16,"2","send",92,0.173913043478261,"you"
"3584","rather than",8,"2","rather",46,0.173913043478261,"than"
"3597","save the",8,"2","save",46,0.173913043478261,"the"
"4538","up for the",8,"3","up for",46,0.173913043478261,"the"
"2961","feels good",9,"2","feels",52,0.173076923076923,"good"
"3155","sound like",9,"2","sound",52,0.173076923076923,"like"
"885","place to",24,"2","place",139,0.172661870503597,"to"
"2372","chance of",11,"2","chance",64,0.171875,"of"
"4169","have the best",11,"3","have the",64,0.171875,"best"
"4129","it to the",12,"3","it to",70,0.171428571428571,"the"
"4998","live in the",6,"3","live in",35,0.171428571428571,"the"
"3786","to see you",52,"3","to see",304,0.171052631578947,"you"
"1983","late night",13,"2","late",76,0.171052631578947,"night"
"346","could be",48,"2","could",281,0.170818505338078,"be"
"4778","whats up with",7,"3","whats up",41,0.170731707317073,"with"
"4560","you in the",8,"3","you in",47,0.170212765957447,"the"
"1362","enjoy your",17,"2","enjoy",100,0.17,"your"
"77","time to",131,"2","time",771,0.169909208819715,"to"
"643","before i",30,"2","before",177,0.169491525423729,"i"
"2753","plan to",10,"2","plan",59,0.169491525423729,"to"
"2318","yea i",12,"2","yea",71,0.169014084507042,"i"
"4109","feel like im",12,"3","feel like",71,0.169014084507042,"im"
"4055","hope you have",13,"3","hope you",77,0.168831168831169,"have"
"1619","found a",15,"2","found",89,0.168539325842697,"a"
"340","take a",49,"2","take",291,0.168384879725086,"a"
"507","check it",36,"2","check",214,0.168224299065421,"it"
"3858","i need a",24,"3","i need",144,0.166666666666667,"a"
"1931","comes to",13,"2","comes",78,0.166666666666667,"to"
"1977","join the",13,"2","join",78,0.166666666666667,"the"
"4091","to work on",13,"3","to work",78,0.166666666666667,"on"
"3126","pay for",9,"2","pay",54,0.166666666666667,"for"
"4345","i should have",9,"3","i should",54,0.166666666666667,"have"
"4402","what are your",9,"3","what are",54,0.166666666666667,"your"
"3595","san antonio",8,"2","san",48,0.166666666666667,"antonio"
"4497","look at that",8,"3","look at",48,0.166666666666667,"that"
"5264","you so much for",7,"4","you so much",42,0.166666666666667,"for"
"4882","good to see",6,"3","good to",36,0.166666666666667,"see"
"4891","hard to get",6,"3","hard to",36,0.166666666666667,"get"
"5021","of all the",6,"3","of all",36,0.166666666666667,"the"
"5031","people who dont",6,"3","people who",36,0.166666666666667,"dont"
"1077","which is",21,"2","which",127,0.165354330708661,"is"
"3927","should be a",17,"3","should be",103,0.16504854368932,"a"
"2273","till the",12,"2","till",73,0.164383561643836,"the"
"2447","learn how",11,"2","learn",67,0.164179104477612,"how"
"609","talk about",32,"2","talk",195,0.164102564102564,"about"
"3891","i got a",19,"3","i got",116,0.163793103448276,"a"
"425","nice to",41,"2","nice",251,0.163346613545817,"to"
"4426","and we are",8,"3","and we",49,0.163265306122449,"are"
"4440","can i get",8,"3","can i",49,0.163265306122449,"get"
"1667","send me",15,"2","send",92,0.16304347826087,"me"
"159","happy birthday",82,"2","happy",503,0.163021868787276,"birthday"
"1021","beautiful day",21,"2","beautiful",129,0.162790697674419,"day"
"5047","talking about the",6,"3","talking about",37,0.162162162162162,"the"
"4175","i guess i",11,"3","i guess",68,0.161764705882353,"i"
"4189","listening to the",11,"3","listening to",68,0.161764705882353,"the"
"4200","thanks to all",11,"3","thanks to",68,0.161764705882353,"all"
"1051","might have",21,"2","might",130,0.161538461538462,"have"
"2839","ugh i",10,"2","ugh",62,0.161290322580645,"i"
"2958","fall asleep",9,"2","fall",56,0.160714285714286,"asleep"
"4316","as well as",9,"3","as well",56,0.160714285714286,"as"
"4384","time for a",9,"3","time for",56,0.160714285714286,"a"
"4385","time for the",9,"3","time for",56,0.160714285714286,"the"
"3877","time to get",21,"3","time to",131,0.16030534351145,"get"
"3773","youve got",8,"2","youve",50,0.16,"got"
"1666","seeing you",15,"2","seeing",94,0.159574468085106,"you"
"48","love you",184,"2","love",1154,0.159445407279029,"you"
"2553","walk to",11,"2","walk",69,0.159420289855072,"to"
"4035","you dont know",14,"3","you dont",88,0.159090909090909,"know"
"4669","im sure you",7,"3","im sure",44,0.159090909090909,"you"
"4300","up on the",10,"3","up on",63,0.158730158730159,"the"
"851","watch the",25,"2","watch",158,0.158227848101266,"the"
"4134","me and my",12,"3","me and",76,0.157894736842105,"my"
"4954","im gonna go",6,"3","im gonna",38,0.157894736842105,"go"
"4980","its all about",6,"3","its all",38,0.157894736842105,"about"
"5102","to win a",6,"3","to win",38,0.157894736842105,"a"
"688","find out",29,"2","find",184,0.157608695652174,"out"
"4016","love to see",14,"3","love to",89,0.157303370786517,"see"
"962","excited about",22,"2","excited",140,0.157142857142857,"about"
"157","make it",83,"2","make",529,0.156899810964083,"it"
"3324","answer to",8,"2","answer",51,0.156862745098039,"to"
"3327","appreciate you",8,"2","appreciate",51,0.156862745098039,"you"
"3505","met you",8,"2","met",51,0.156862745098039,"you"
"3540","obama bin",8,"2","obama",51,0.156862745098039,"bin"
"4439","but you know",8,"3","but you",51,0.156862745098039,"know"
"596","coming to",32,"2","coming",205,0.15609756097561,"to"
"3804","it was a",39,"3","it was",250,0.156,"a"
"4601","first time in",7,"3","first time",45,0.155555555555556,"in"
"4617","going on a",7,"3","going on",45,0.155555555555556,"a"
"4775","welcome to twitter",7,"3","welcome to",45,0.155555555555556,"twitter"
"5248","i feel like im",7,"4","i feel like",45,0.155555555555556,"im"
"3144","sent me",9,"2","sent",58,0.155172413793103,"me"
"3249","wonder how",9,"2","wonder",58,0.155172413793103,"how"
"4164","feel like i",11,"3","feel like",71,0.154929577464789,"i"
"5204","to be a good",11,"4","to be a",71,0.154929577464789,"good"
"5165","thanks for the rt",37,"4","thanks for the",239,0.154811715481172,"rt"
"3797","i think i",42,"3","i think",273,0.153846153846154,"i"
"1525","luck to",16,"2","luck",104,0.153846153846154,"to"
"3990","all of you",14,"3","all of",91,0.153846153846154,"you"
"2721","missed you",10,"2","missed",65,0.153846153846154,"you"
"2811","tickets to",10,"2","tickets",65,0.153846153846154,"to"
"4813","a whole new",6,"3","a whole",39,0.153846153846154,"new"
"4825","and they have",6,"3","and they",39,0.153846153846154,"have"
"4843","can do this",6,"3","can do",39,0.153846153846154,"this"
"4877","glad you like",6,"3","glad you",39,0.153846153846154,"like"
"4878","glad you liked",6,"3","glad you",39,0.153846153846154,"liked"
"4885","great to have",6,"3","great to",39,0.153846153846154,"have"
"4995","life is good",6,"3","life is",39,0.153846153846154,"good"
"549","because i",34,"2","because",222,0.153153153153153,"i"
"3788","i have a",49,"3","i have",320,0.153125,"a"
"3789","i have to",49,"3","i have",320,0.153125,"to"
"24","are you",254,"2","are",1666,0.152460984393757,"you"
"4707","needs to be",7,"3","needs to",46,0.152173913043478,"be"
"5249","im going to be",7,"4","im going to",46,0.152173913043478,"be"
"569","yeah i",34,"2","yeah",224,0.151785714285714,"i"
"73","from the",139,"2","from",917,0.151581243184297,"the"
"5338","i dont know what",5,"4","i dont know",33,0.151515151515152,"what"
"704","stop by",29,"2","stop",192,0.151041666666667,"by"
"39","but i",207,"2","but",1372,0.150874635568513,"i"
"44","all the",190,"2","all",1261,0.150674068199841,"the"
"4006","i hate when",14,"3","i hate",93,0.150537634408602,"when"
"1615","enjoy the",15,"2","enjoy",100,0.15,"the"
"4996","like i have",6,"3","like i",40,0.15,"have"
"5156","you on the",6,"3","you on",40,0.15,"the"
"5311","what do you do",6,"4","what do you",40,0.15,"do"
"4234","for all of",10,"3","for all",67,0.149253731343284,"of"
"4663","if youre a",7,"3","if youre",47,0.148936170212766,"a"
"4664","if youre in",7,"3","if youre",47,0.148936170212766,"in"
"633","those who",31,"2","those",209,0.148325358851675,"who"
"3821","do you think",32,"3","do you",216,0.148148148148148,"think"
"1494","few weeks",16,"2","few",108,0.148148148148148,"weeks"
"4145","what a great",12,"3","what a",81,0.148148148148148,"great"
"3703","tweeting from",8,"2","tweeting",54,0.148148148148148,"from"
"4503","no one can",8,"3","no one",54,0.148148148148148,"can"
"3853","you have to",25,"3","you have",169,0.14792899408284,"to"
"476","look like",38,"2","look",257,0.147859922178988,"like"
"654","may be",30,"2","may",203,0.147783251231527,"be"
"4347","i thought i",9,"3","i thought",61,0.147540983606557,"i"
"1236","sorry for",19,"2","sorry",129,0.147286821705426,"for"
"1237","sorry i",19,"2","sorry",129,0.147286821705426,"i"
"1622","ha ha",15,"2","ha",102,0.147058823529412,"ha"
"4279","thanks to everyone",10,"3","thanks to",68,0.147058823529412,"everyone"
"1413","name is",17,"2","name",116,0.146551724137931,"is"
"4114","happy birthday to",12,"3","happy birthday",82,0.146341463414634,"to"
"5106","today is the",6,"3","today is",41,0.146341463414634,"the"
